;file;sp;stage;p;year;p_norm;s;s_norm;i;i_norm;l;l_norm;classic?;type
86;chekhov-na-bolshoi-doroge;528;214;40.53030303030303;1884;0.24168074010345306;3.588785046728972;0.07182083324462989;0.10416666666666667;0.2149914089347079;1.2677966101694915;0.5921894111479993;0.17616432742759694;small_retreat
87;pushkin-skupoj-rytsar;204;23;11.27450980392157;1836;0.02674858937616407;2.8260869565217392;0.03484995543230663;0.00980392156862745;0.0;1.069767441860465;0.15427954926876028;0.02053284826949023;classic
88;gogol-igroki;952;177;18.592436974789916;1842;0.08051085839172681;3.6440677966101696;0.07450059843249296;0.09243697478991597;0.18826705940108004;1.3;0.6634020618556702;0.11442617207509993;small_retreat
89;ozerov-dmitrij-donskoj;449;105;23.385300668151448;1807;0.11572236312809475;4.809523809523809;0.1309946848899013;0.05790645879732739;0.1095944404901308;1.318435754189944;0.7041697863272475;0.11877049616937561;small_retreat
90;gogol-teatralnyi-razezd;557;119;21.364452423698385;1842;0.10087589302513779;4.26890756302521;0.10478895886372772;0.08258527827648116;0.16582144157150175;1.3018867924528301;0.6675744018673408;0.12382876448678909;small_retreat
91;gogol-utro-delovogo-cheloveka;168;27;16.071428571428573;1836;0.06198988533373392;5.222222222222222;0.15099974689951912;0.07738095238095238;0.15396416298478158;1.10752688172043;0.23777851679414677;0.12231793173934487;small_retreat
92;ostrovsky-snegurochka;1149;232;20.191470844212358;1873;0.09225840480010199;7.021551724137931;0.2382200926871416;0.057441253263707574;0.10853453922281142;1.4145383104125737;0.9166852328195574;0.14633767890335167;small_retreat
93;chekhov-tatjana-repina;524;126;24.045801526717558;1889;0.12057483350858744;3.0714285714285716;0.04674259681093395;0.16793893129770993;0.3602869809291467;1.1428571428571428;0.31590574374079516;0.17586813708288937;small_retreat
94;chekhov-noch-pered-sudom;148;52;35.13513513513514;1886;0.2020443156089844;2.9423076923076925;0.04048361661117926;0.1554054054054054;0.33173121575183434;1.1758241758241759;0.3888070692194404;0.191419715990666;small_retreat
95;tolstoy-tsar-boris;2036;258;12.671905697445974;1870;0.03701477161530585;4.666666666666667;0.12406985573272591;0.04518664047151277;0.08061423585090367;1.3594936708860759;0.7949628082996214;0.08056628773297847;classic
96;krylov-urok-dochkam;818;146;17.84841075794621;1807;0.07504475621680774;2.636986301369863;0.025683527319249853;0.1198044009779951;0.2506196489636109;1.2661290322580645;0.5885018290655137;0.11711597749988949;small_retreat
97;krylov-modnaja-lavka;1292;208;16.09907120743034;1806;0.06219296617866805;2.375;0.01298405466970387;0.0781733746130031;0.15576957858563933;1.1415094339622642;0.31292550087531623;0.07698219981133708;classic
98;turgenev-gde-tonko-tam-i-rvetsja;962;272;28.274428274428274;1848;0.1516410853950286;4.8713235294117645;0.13399035240519896;0.1600831600831601;0.34238878053311045;1.3043478260869565;0.6730165844912596;0.20934007277777936;significant_retreat
99;krylov-amerikantsy;850;141;16.58823529411765;1788;0.06578668481062246;3.099290780141844;0.04809318405790077;0.08705882352941176;0.17601374570446732;1.2395209580838322;0.5296623248348661;0.09663120485766352;classic
100;lermontov-maskarad;1507;400;26.542800265428003;1842;0.13891941590023515;3.4075;0.06303325740318907;0.0822826808228268;0.1651320185069903;1.3226600985221675;0.7135112487938652;0.12236156393680485;small_retreat
101;gogol-tjazhba;136;23;16.911764705882355;1842;0.06816354301973156;2.5652173913043477;0.022204615232247194;0.058823529411764705;0.11168384879725086;1.0789473684210527;0.1745794899620185;0.06735066901640986;classic
